32.5,47.3,25.9
86.8,9.9,94.8
29.0,41.1,44.4
73.3,57.4,98.2
12.6,21.1,66.5
10.3,84.0,59.2
75.5,64.7,90.3
90.6,83.1,47.7
70.4,4.4,60.9
55.6,44.9,94.5
17.6,8.8,62.9
88.1,56.6,4.5
8.0,31.7,16.4
9.7,33.1,1.1
14.3,27.3,70.6
72.6,82.1,5.7
0.0,68.9,89.3
15.5,58.5,22.4
4.8,59.8,19.6
78.1,47.3,91.1
28.3,79.4,62.6
89.9,10.1,91.7
36.4,25.7,15.6
35.8,58.6,11.1
23.1,48.8,51.0
99.1,31.3,22.4
19.1,87.0,78.0
52.9,41.6,67.6
53.7,79.1,22.3
91.0,25.6,90.7
29.2,85.6,91.1
89.7,9.4,11.3
3.3,96.6,11.1
46.1,57.0,57.8
11.7,61.0,54.9
51.8,17.2,5.3
10.1,55.5,72.7
38.2,67.8,30.5
31.0,79.4,48.6
63.4,17.9,3.6
50.1,66.7,61.0
56.0,48.0,22.1
9.4,40.5,44.1
80.2,89.6,58.4
6.7,48.0,19.2
60.1,68.5,94.4
4.6,51.7,31.5
97.1,24.5,57.0
38.5,70.9,26.8
34.6,54.9,87.2
65.4,11.8,60.6
60.0,22.1,19.7
17.2,77.6,5.3
31.0,41.9,48.8
58.4,26.4,31.4
44.8,96.5,79.8
35.4,87.5,8.7
11.5,94.6,88.0
66.6,58.8,22.1
84.8,82.6,62.2
37.1,7.7,54.4
72.3,20.1,54.4
9.5,1.0,63.5
88.5,2.0,63.4
15.1,82.0,37.1
22.5,1.6,99.8
44.9,39.1,13.4
34.3,67.6,61.6
97.6,69.7,68.8
74.0,41.9,40.8
70.9,32.0,54.8
99.7,13.0,4.6
72.5,42.0,34.9
3.7,43.2,10.6
30.0,84.0,60.4
69.0,14.7,83.9
28.9,52.9,28.9
91.6,50.6,60.6
50.2,17.2,71.7
74.0,18.0,97.8
16.6,23.8,27.8
4.4,62.2,91.4
13.1,48.3,33.2
97.1,80.1,14.8
32.7,2.3,41.6
51.3,50.8,67.2
33.7,56.3,15.5
2.0,19.9,54.8
31.2,43.4,9.3
79.5,60.6,73.6
66.8,62.2,50.6
12.6,85.9,67.5
43.1,47.8,72.0
20.1,1.1,74.3
78.2,75.9,62.9
52.6,86.2,14.5
27.4,38.6,82.7
51.3,96.1,53.7
75.1,87.9,38.1
93.1,37.5,79.4
