97.2,4.0,75.0
49.9,82.7,6.4
18.4,65.3,17.0
16.9,27.6,17.3
18.8,39.7,82.0
40.0,2.4,33.8
88.0,46.5,29.8
15.6,94.5,64.7
33.0,95.4,32.8
9.7,13.8,88.0
43.4,31.3,22.3
9.5,64.5,29.5
32.6,7.3,51.1
76.2,73.5,23.7
94.7,43.3,90.5
25.3,66.2,5.4
49.0,59.5,8.0
94.2,54.7,13.2
53.8,21.2,76.8
74.2,11.6,77.4
39.5,0.3,47.2
5.4,78.2,36.0
12.8,38.4,85.5
79.9,90.5,34.4
58.2,69.2,10.5
45.4,81.8,79.2
57.2,67.8,62.4
42.6,89.8,43.5
64.1,10.5,70.9
32.1,97.3,89.9
74.5,74.9,0.0
77.9,55.1,7.6
54.1,32.7,76.6
93.9,43.5,28.4
7.2,48.0,28.9
35.1,80.6,55.7
81.3,44.8,53.3
42.5,33.5,58.1
58.3,18.8,21.2
30.4,70.8,55.6
90.8,47.5,97.8
23.9,93.8,6.3
19.4,72.2,96.1
27.4,95.2,17.8
93.8,75.3,87.5
97.4,56.8,43.3
27.7,12.4,69.9
26.8,81.5,18.7
25.0,51.1,86.7
97.8,83.7,73.1
57.7,52.6,84.5
70.3,81.0,21.1
61.7,64.6,88.3
68.4,19.3,80.1
31.3,23.2,6.8
6.7,48.0,99.0
67.4,24.4,68.5
18.1,44.5,48.7
95.8,43.8,66.0
88.1,96.8,3.0
55.8,55.1,75.7
8.5,66.9,52.5
13.9,83.2,97.8
91.9,45.0,48.2
78.7,23.7,82.2
49.9,99.4,87.6
69.3,4.5,50.0
31.1,16.5,93.9
59.7,46.8,86.0
44.5,77.8,95.8
83.3,16.5,48.7
15.0,0.7,20.4
78.5,95.5,55.2
64.0,37.2,44.0
47.0,36.5,69.3
81.0,13.6,79.6
83.6,98.2,26.6
31.8,31.9,19.7
58.5,47.6,9.9
1.8,63.2,66.7
67.3,82.2,47.3
63.0,58.9,25.3
32.6,45.8,96.4
57.5,2.4,26.7
8.2,39.9,25.8
2.0,35.3,36.0
78.3,3.2,82.3
21.7,94.0,20.0
54.9,64.1,83.2
62.4,23.9,17.4
64.7,97.1,10.4
93.7,68.8,85.2
92.3,20.0,71.3
83.8,80.8,5.2
9.5,55.7,13.1
60.0,31.7,90.7
60.3,20.7,28.5
82.7,43.8,90.4
56.8,24.6,13.6
32.4,97.4,93.3
